trip_id,month,season,zone_id,zone_name,latitude,longitude,origin_harbour_id,distance_from_port_km,species,species_suitable_for_zone,gear_type,boat_type,trip_duration_hours,hour_of_day,sea_surface_temperature_c,chlorophyll_mg_m3,wave_height_m,wind_speed_kmh,wind_direction,rainfall_mm,zone_yield_score,fishing_effort_vessels,demand,catch_kg,market_price_per_kg,fuel_cost_inr,transport_cost_inr
DEMO-00000,12,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.7991,77.1493,HBR-TUT,160.1,Tuna,1,Ring Seine,Mechanized Trawler,12.8,16,27.77,2.45,1.16,14.9,SE,0.4,98,13,High,178.5,313.77,5379.0,1041.0
DEMO-00001,8,monsoon,PFZ-03,Wadge Bank Special Zone,7.8672,77.1473,HBR-TUT,155.6,Tuna,1,Gillnet,Mechanized Trawler,12.6,10,26.88,2.31,1.35,15.3,NE,5.8,98,12,High,95.1,341.19,5228.0,1011.0
DEMO-00002,11,post_monsoon,PFZ-05,Visakhapatnam Deep Front,17.4342,83.6514,HBR-VSK,44.1,Tuna,1,Gillnet,Motorized,9.8,5,30.27,2.07,1.64,10.0,NE,2.6,87,4,High,80.3,344.98,926.0,287.0
DEMO-00003,7,monsoon,PFZ-03,Wadge Bank Special Zone,7.9081,77.2197,HBR-TUT,163.7,Tuna,1,Hook & Line,Mechanized Trawler,11.9,17,27.75,2.41,1.91,13.6,N,1.5,98,11,High,59.8,351.48,5500.0,1064.0
DEMO-00004,8,monsoon,PFZ-03,Wadge Bank Special Zone,7.8536,77.1884,HBR-TUT,160.0,Tuna,1,Hook & Line,Mechanized Trawler,13.9,12,27.84,2.38,1.73,27.4,W,1.2,98,16,High,42.2,340.18,5376.0,1040.0
DEMO-00005,1,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.8986,77.1499,HBR-TUT,166.6,Tuna,1,Hook & Line,Mechanized Trawler,16.3,5,27.67,1.95,1.93,13.5,S,1.8,98,12,High,69.1,387.89,5598.0,1083.0
DEMO-00006,10,post_monsoon,PFZ-06,Veraval Saurashtra Bank,20.7209,70.1217,HBR-VER,34.6,Pomfret,1,Longline,Motorized,7.1,6,25.96,2.1,1.09,8.8,SW,11.8,91,6,High,30.5,708.17,727.0,225.0
DEMO-00007,12,post_monsoon,PFZ-03,Wadge Bank Special Zone,7.7932,77.1983,HBR-TUT,168.6,Tuna,1,Trawl,Mechanized Trawler,13.5,10,27.66,1.95,0.4,16.0,SW,2.3,98,12,High,212.1,359.42,5665.0,1096.0
DEMO-00008,6,monsoon,PFZ-02,Mangaluru Shelf Front,12.7784,74.2227,HBR-MNG,58.3,Kingfish,1,Longline,Mechanized Trawler,14.2,5,27.8,1.74,2.02,33.4,NE,0.9,89,4,Medium,26.2,461.39,1959.0,379.0
DEMO-00009,5,pre_monsoon,PFZ-05,Visakhapatnam Deep Front,17.5047,83.6587,HBR-VSK,50.8,Tuna,1,Hook & Line,Mechanized Trawler,14.6,16,28.79,1.84,0.75,12.4,S,15.5,87,7,High,75.4,394.33,1707.0,330.0
DEMO-00010,9,monsoon,PFZ-03,Wadge Bank Special Zone,7.7708,77.1457,HBR-TUT,159.9,Tuna,1,Longline,Mechanized Trawler,14.7,4,27.34,2.4,1.87,24.1,NE,9.9,98,9,High,99.1,349.91,5373.0,1039.0
DEMO-00011,6,monsoon,PFZ-05,Visakhapatnam Deep Front,17.4624,83.659,HBR-VSK,51.1,Tuna,1,Hook & Line,Mechanized Trawler,13.4,12,29.05,1.98,2.28,18.3,S,10.1,87,1,High,29.9,373.34,1717.0,332.0
DEMO-00012,4,pre_monsoon,PFZ-07,Ratnagiri Deep Shelf,16.9205,72.9226,HBR-MNG,540.6,Mackerel,1,Trawl,Mechanized Trawler,11.3,4,28.27,1.64,0.98,27.6,NE,1.3,78,4,High,150.4,290.76,18164.0,3514.0
DEMO-00013,11,post_monsoon,PFZ-01,Kochi Deep Offshore (Malabar),9.8612,75.5355,HBR-KOC,73.4,Tuna,1,Trawl,Mechanized Trawler,14.4,12,27.64,1.67,0.88,8.5,S,13.1,94,9,High,164.1,317.91,2466.0,477.0
DEMO-00014,7,monsoon,PFZ-07,Ratnagiri Deep Shelf,16.8977,72.874,HBR-MNG,528.6,Mackerel,1,Gillnet,Mechanized Trawler,15.3,18,28.48,1.39,1.14,17.7,W,15.9,78,14,High,146.5,265.02,17761.0,3436.0
DEMO-00015,9,monsoon,PFZ-07,Ratnagiri Deep Shelf,16.7903,72.8536,HBR-MNG,489.0,Mackerel,1,Ring Seine,Mechanized Trawler,12.8,13,27.03,1.43,1.54,22.8,E,6.0,78,6,High,98.3,265.29,16430.0,3178.0
DEMO-00016,3,pre_monsoon,PFZ-05,Visakhapatnam Deep Front,17.4902,83.6326,HBR-VSK,43.2,Tuna,1,Trawl,Motorized,6.3,7,29.21,1.8,2.06,17.2,S,7.8,87,6,High,53.5,410.17,907.0,281.0
